Designator,Mid X,Mid Y,Rotation,Layer
C1,55.16,73.99,90.0,top
C10,78.71,75.47,90.0,top
C11,78.71,78.44,90.0,top
C12,68.09,67.615,270.0,bottom
C13,69.68,67.61,90.0,bottom
C2,60.25632,78.55764,270.0,top
C3,63.38,71.93,270.0,top
C4,68.1,67.62,270.0,top
C5,72.84,70.62,180.0,top
C6,77.98,68.07,0.0,top
C7,77.97,69.55,0.0,top
C8,78.71,72.5,270.0,top
C9,77.98,66.61,0.0,top
D1,68.0406,73.6204,270.0,bottom
D2,66.56994,73.62294,270.0,bottom
D3,65.1069,73.62294,270.0,bottom
D4,72.39,72.8,90.0,top
D5,56.125,66.575,180.0,top
D6,68.09,70.65,90.0,top
D7,69.5138,73.6204,270.0,bottom
IC1,70.65,68.0,270.0,top
IC2,58.925,67.475,90.0,top
J1,52.425,72.865,0.0,top
L1,75.81,77.93,270.0,top
L2,74.47,67.93,180.0,top
Q1,65.9618,77.867,90.0,top
Q2,68.7812,77.867,90.0,top
Q3B1,71.61,77.87,270.0,top
R1,55.14,75.99,90.0,top
R10,55.12,78.55,90.0,top
R11,67.35,75.77,0.0,top
R12,65.4792,75.7842,180.0,top
R13,69.24,75.77,0.0,top
R14,57.39,78.53,90.0,top
R15,66.74,71.21,90.0,top
R16,65.79,71.2,270.0,top
R17,64.84,71.21,90.0,top
R18,58.35,78.53,90.0,top
R19,63.13,78.55,270.0,top
R2,64.07,78.54,90.0,top
R20,61.22132,78.54764,270.0,top
R21,71.72,75.51,180.0,top
R22,64.06,76.67,270.0,top
R23,59.31,78.53,270.0,top
R24,56.13,68.14,0.0,top
R25,77.13,71.33,270.0,top
R26,76.16,71.33,90.0,top
R27,55.125,71.575,90.0,top
R28,75.21,71.09,90.0,top
R29,55.575,70.15,0.0,top
R3,62.1662,78.54764,90.0,top
R4,66.58,73.63,270.0,top
R5,65.1,73.63,270.0,top
R6,74.25,71.09,90.0,top
R7,70.97,70.62,180.0,top
R77,69.51,73.63,270.0,top
R8,68.04,73.63,270.0,top
R9,56.09,78.56,90.0,top
U1,59.26826,73.94754,90.0,top
U2,61.94,67.78,90.0,top
U3,75.69,74.1,180.0,top
U4,65.56,67.78,90.0,top
